Equs:	366030	Non-zeroes:	6903972
iters time:	2	Sun Apr  7 21:07:23 2019

Substep:	41
MEL:	686357	MELES:	192304
Equs:	366030	Non-zeroes:	6909273
iters time:	2	Sun Apr  7 21:07:25 2019

Substep:	42
MEL:	686845	MELES:	192304
Equs:	366030	Non-zeroes:	6913665
iters time:	2	Sun Apr  7 21:07:27 2019

Substep:	43
MEL:	687294	MELES:	192304
Equs:	366030	Non-zeroes:	6917706
iters time:	2	Sun Apr  7 21:07:29 2019

Substep:	44
MEL:	687822	MELES:	192304
Equs:	366030	Non-zeroes:	6922458
iters time:	2	Sun Apr  7 21:07:31 2019

Substep:	45
MEL:	688366	MELES:	192304
Equs:	366030	Non-zeroes:	6927354
iters time:	2	Sun Apr  7 21:07:33 2019

Substep:	46
MEL:	688856	MELES:	192304
Equs:	366030	Non-zeroes:	6931764
iters time:	2	Sun Apr  7 21:07:35 2019

Substep:	47
MEL:	689388	MELES:	192304
Equs:	366030	Non-zeroes:	6936552
iters time:	2	Sun Apr  7 21:07:37 2019

Substep:	48
MEL:	689894	MELES:	192304
Equs:	366030	Non-zeroes:	6941106
iters time:	2	Sun Apr  7 21:07:39 2019

Substep:	49
MEL:	690415	MELES:	192304
Equs:	366030	Non-zeroes:	6945795
iters time:	2	Sun Apr  7 21:07:41 2019

Substep:	50
MEL:	690933	MELES:	192304
Equs:	366030	Non-zeroes:	6950457
iters time:	2	Sun Apr  7 21:07:43 2019

Substep:	51
MEL:	691475	MELES:	192304
Equs:	366030	Non-zeroes:	6955335
iters time:	2	Sun Apr  7 21:07:45 2019

Substep:	52
MEL:	691899	MELES:	192304
Equs:	366030	Non-zeroes:	6959151
iters time:	2	Sun Apr  7 21:07:47 2019

Substep:	53
MEL:	692389	MELES:	192304
Equs:	366030	Non-zeroes:	6963561
iters time:	2	Sun Apr  7 21:07:49 2019

Substep:	54
MEL:	692875	MELES:	192304
Equs:	366030	Non-zeroes:	6967935
iters time:	2	Sun Apr  7 21:07:51 2019

Substep:	55
MEL:	693331	MELES:	192304
Equs:	366030	Non-zeroes:	6972039
iters time:	2	Sun Apr  7 21:07:53 2019

Substep:	56
MEL:	693822	MELES:	192304
Equs:	366030	Non-zeroes:	6976458
iters time:	2	Sun Apr  7 21:07:55 2019

Substep:	57
MEL:	694298	MELES:	192304
Equs:	366030	Non-zeroes:	6980742
iters time:	2	Sun Apr  7 21:07:57 2019

Substep:	58
MEL:	694782	MELES:	192304
Equs:	366030	Non-zeroes:	6985098
iters time:	2	Sun Apr  7 21:07:59 2019

Substep:	59
MEL:	695351	MELES:	192304
Equs:	366030	Non-zeroes:	6990219
