x_coord,y_coord,z_coord
6.58764e-06,0.00251405,0.000416709
8.07557e-05,0.00255306,0.000482178
0.000144614,0.00256809,0.000519659
0.0002002,0.00257055,0.000535336
0.000254759,0.00257035,0.000536141
0.000332167,0.00256972,0.000531404
0.000416201,0.00256903,0.000524088
0.000499911,0.00256798,0.000515513
0.000583161,0.0025668,0.000505813
0.000665389,0.00256767,0.00049419
0.000746423,0.0025711,0.000480605
0.00082719,0.00256338,0.00046787
0.000908129,0.00256123,0.000452771
0.00098922,0.00256112,0.000434887
0.00106992,0.00256163,0.000415818
0.00115007,0.00256302,0.000397861
0.00122814,0.00256271,0.000382466
0.0013047,0.00256502,0.000368895
0.00138169,0.00256187,0.000355582
0.0014613,0.00255889,0.000342325
0.00154392,0.00255638,0.000330218
0.00162729,0.00255493,0.000319275
0.00171081,0.00255467,0.000309843
0.00179445,0.00255449,0.000301286
0.00187817,0.00255259,0.000292925
0.00196156,0.00254387,0.000284943
0.00204463,0.00254363,0.000279098
0.0021285,0.00255364,0.000275751
0.00221236,0.00255614,0.000272304
0.00229702,0.00255501,0.000269185
0.00238179,0.00255422,0.00026667
0.00246601,0.00255121,0.000264338
0.00254939,0.00254288,0.000261378
0.00263306,0.00255039,0.000261487
0.0027172,0.00255366,0.000260861
0.00280209,0.00255405,0.000260095
0.00288708,0.0025544,0.000260108
0.00297212,0.00255487,0.000260739
0.00305704,0.00255551,0.000262599
0.00314203,0.00255629,0.000265279
0.00322673,0.00255721,0.000269147
0.00331159,0.00255847,0.000273529
0.00339611,0.00255981,0.000278695
0.0034809,0.00256098,0.000284453
0.0035653,0.00256056,0.000291772
0.00364947,0.00256159,0.000299891
0.00373349,0.00256241,0.000309447
0.00381741,0.0025627,0.000320385
0.00390105,0.00256331,0.00033282
0.00398437,0.00256288,0.000347649
0.0040673,0.00256155,0.000363774
0.00415012,0.00255984,0.000380409
0.00423277,0.00255806,0.000397606
0.00431528,0.00255645,0.000415572
0.00439431,0.00255554,0.000433374
0.00446188,0.00255537,0.000448915
0.00453971,0.00255483,0.00046673
