Starting Generating Tow Geometry...	Mon Feb 27 15:44:28 2017
stack:0 of 359	Mon Feb 27 15:44:28 2017
stack:1 of 359	Mon Feb 27 15:44:28 2017
stack:2 of 359	Mon Feb 27 15:44:28 2017
stack:3 of 359	Mon Feb 27 15:44:28 2017
stack:4 of 359	Mon Feb 27 15:44:28 2017
stack:5 of 359	Mon Feb 27 15:44:28 2017
stack:6 of 359	Mon Feb 27 15:44:28 2017
stack:7 of 359	Mon Feb 27 15:44:28 2017
stack:8 of 359	Mon Feb 27 15:44:28 2017
stack:9 of 359	Mon Feb 27 15:44:28 2017
stack:10 of 359	Mon Feb 27 15:44:29 2017
stack:11 of 359	Mon Feb 27 15:44:29 2017
stack:12 of 359	Mon Feb 27 15:44:29 2017
stack:13 of 359	Mon Feb 27 15:44:29 2017
stack:14 of 359	Mon Feb 27 15:44:29 2017
stack:15 of 359	Mon Feb 27 15:44:29 2017
stack:16 of 359	Mon Feb 27 15:44:29 2017
stack:17 of 359	Mon Feb 27 15:44:29 2017
stack:18 of 359	Mon Feb 27 15:44:29 2017
stack:19 of 359	Mon Feb 27 15:44:29 2017
stack:20 of 359	Mon Feb 27 15:44:29 2017
stack:21 of 359	Mon Feb 27 15:44:30 2017
stack:22 of 359	Mon Feb 27 15:44:30 2017
stack:23 of 359	Mon Feb 27 15:44:30 2017
stack:24 of 359	Mon Feb 27 15:44:30 2017
stack:25 of 359	Mon Feb 27 15:44:30 2017
stack:26 of 359	Mon Feb 27 15:44:30 2017
stack:27 of 359	Mon Feb 27 15:44:30 2017
stack:28 of 359	Mon Feb 27 15:44:30 2017
stack:29 of 359	Mon Feb 27 15:44:30 2017
stack:30 of 359	Mon Feb 27 15:44:30 2017
stack:31 of 359	Mon Feb 27 15:44:30 2017
stack:32 of 359	Mon Feb 27 15:44:31 2017
stack:33 of 359	Mon Feb 27 15:44:31 2017
stack:34 of 359	Mon Feb 27 15:44:31 2017
stack:35 of 359	Mon Feb 27 15:44:31 2017
stack:36 of 359	Mon Feb 27 15:44:31 2017
stack:37 of 359	Mon Feb 27 15:44:31 2017
stack:38 of 359	Mon Feb 27 15:44:31 2017
stack:39 of 359	Mon Feb 27 15:44:31 2017
stack:40 of 359	Mon Feb 27 15:44:31 2017
stack:41 of 359	Mon Feb 27 15:44:31 2017
stack:42 of 359	Mon Feb 27 15:44:31 2017
stack:43 of 359	Mon Feb 27 15:44:31 2017
stack:44 of 359	Mon Feb 27 15:44:32 2017
stack:45 of 359	Mon Feb 27 15:44:32 2017
stack:46 of 359	Mon Feb 27 15:44:32 2017
stack:47 of 359	Mon Feb 27 15:44:32 2017
stack:48 of 359	Mon Feb 27 15:44:32 2017
stack:49 of 359	Mon Feb 27 15:44:32 2017
stack:50 of 359	Mon Feb 27 15:44:32 2017
stack:51 of 359	Mon Feb 27 15:44:32 2017
stack:52 of 359	Mon Feb 27 15:44:32 2017
stack:53 of 359	Mon Feb 27 15:44:32 2017
stack:54 of 359	Mon Feb 27 15:44:32 2017
stack:55 of 359	Mon Feb 27 15:44:32 2017
stack:56 of 359	Mon Feb 27 15:44:33 2017
stack:57 of 359	Mon Feb 27 15:44:33 2017
stack:58 of 359	Mon Feb 27 15:44:33 2017
stack:59 of 359	Mon Feb 27 15:44:33 2017
stack:60 of 359	Mon Feb 27 15:44:33 2017
stack:61 of 359	Mon Feb 27 15:44:33 2017
stack:62 of 359	Mon Feb 27 15:44:33 2017
stack:63 of 359	Mon Feb 27 15:44:33 2017
stack:64 of 359	Mon Feb 27 15:44:34 2017
stack:65 of 359	Mon Feb 27 15:44:34 2017
stack:66 of 359	Mon Feb 27 15:44:35 2017
stack:67 of 359	Mon Feb 27 15:44:35 2017
stack:68 of 359	Mon Feb 27 15:44:35 2017
stack:69 of 359	Mon Feb 27 15:44:35 2017
stack:70 of 359	Mon Feb 27 15:44:35 2017
stack:71 of 359	Mon Feb 27 15:44:36 2017
stack:72 of 359	Mon Feb 27 15:44:36 2017
stack:73 of 359	Mon Feb 27 15:44:36 2017
stack:74 of 359	Mon Feb 27 15:44:36 2017
stack:75 of 359	Mon Feb 27 15:44:36 2017
stack:76 of 359	Mon Feb 27 15:44:36 2017
stack:77 of 359	Mon Feb 27 15:44:36 2017
stack:78 of 359	Mon Feb 27 15:44:36 2017
stack:79 of 359	Mon Feb 27 15:44:36 2017
stack:80 of 359	Mon Feb 27 15:44:36 2017
stack:81 of 359	Mon Feb 27 15:44:37 2017
stack:82 of 359	Mon Feb 27 15:44:37 2017
stack:83 of 359	Mon Feb 27 15:44:37 2017
stack:84 of 359	Mon Feb 27 15:44:37 2017
stack:85 of 359	Mon Feb 27 15:44:37 2017
stack:86 of 359	Mon Feb 27 15:44:37 2017
stack:87 of 359	Mon Feb 27 15:44:37 2017
stack:88 of 359	Mon Feb 27 15:44:37 2017
stack:89 of 359	Mon Feb 27 15:44:37 2017
stack:90 of 359	Mon Feb 27 15:44:37 2017
stack:91 of 359	Mon Feb 27 15:44:37 2017
