Starting Generating Tow Geometry...	Tue Apr 16 22:46:52 2019
stack:0 of 264	Tue Apr 16 22:46:52 2019
stack:1 of 264	Tue Apr 16 22:46:52 2019
stack:2 of 264	Tue Apr 16 22:46:53 2019
stack:3 of 264	Tue Apr 16 22:46:54 2019
stack:4 of 264	Tue Apr 16 22:46:54 2019
stack:5 of 264	Tue Apr 16 22:46:55 2019
stack:6 of 264	Tue Apr 16 22:46:56 2019
stack:7 of 264	Tue Apr 16 22:46:57 2019
stack:8 of 264	Tue Apr 16 22:46:57 2019
stack:9 of 264	Tue Apr 16 22:46:58 2019
stack:10 of 264	Tue Apr 16 22:46:59 2019
stack:11 of 264	Tue Apr 16 22:47:00 2019
stack:12 of 264	Tue Apr 16 22:47:00 2019
stack:13 of 264	Tue Apr 16 22:47:01 2019
stack:14 of 264	Tue Apr 16 22:47:02 2019
stack:15 of 264	Tue Apr 16 22:47:02 2019
stack:16 of 264	Tue Apr 16 22:47:03 2019
stack:17 of 264	Tue Apr 16 22:47:04 2019
stack:18 of 264	Tue Apr 16 22:47:05 2019
stack:19 of 264	Tue Apr 16 22:47:05 2019
stack:20 of 264	Tue Apr 16 22:47:06 2019
stack:21 of 264	Tue Apr 16 22:47:07 2019
stack:22 of 264	Tue Apr 16 22:47:08 2019
stack:23 of 264	Tue Apr 16 22:47:08 2019
stack:24 of 264	Tue Apr 16 22:47:09 2019
stack:25 of 264	Tue Apr 16 22:47:10 2019
stack:26 of 264	Tue Apr 16 22:47:10 2019
stack:27 of 264	Tue Apr 16 22:47:11 2019
stack:28 of 264	Tue Apr 16 22:47:12 2019
stack:29 of 264	Tue Apr 16 22:47:13 2019
stack:30 of 264	Tue Apr 16 22:47:13 2019
stack:31 of 264	Tue Apr 16 22:47:14 2019
stack:32 of 264	Tue Apr 16 22:47:15 2019
stack:33 of 264	Tue Apr 16 22:47:16 2019
stack:34 of 264	Tue Apr 16 22:47:16 2019
stack:35 of 264	Tue Apr 16 22:47:17 2019
stack:36 of 264	Tue Apr 16 22:47:18 2019
stack:37 of 264	Tue Apr 16 22:47:19 2019
stack:38 of 264	Tue Apr 16 22:47:19 2019
stack:39 of 264	Tue Apr 16 22:47:20 2019
stack:40 of 264	Tue Apr 16 22:47:21 2019
stack:41 of 264	Tue Apr 16 22:47:21 2019
stack:42 of 264	Tue Apr 16 22:47:22 2019
stack:43 of 264	Tue Apr 16 22:47:23 2019
stack:44 of 264	Tue Apr 16 22:47:24 2019
stack:45 of 264	Tue Apr 16 22:47:25 2019
stack:46 of 264	Tue Apr 16 22:47:25 2019
stack:47 of 264	Tue Apr 16 22:47:26 2019
stack:48 of 264	Tue Apr 16 22:47:27 2019
stack:49 of 264	Tue Apr 16 22:47:28 2019
stack:50 of 264	Tue Apr 16 22:47:28 2019
stack:51 of 264	Tue Apr 16 22:47:29 2019
stack:52 of 264	Tue Apr 16 22:47:30 2019
stack:53 of 264	Tue Apr 16 22:47:31 2019
stack:54 of 264	Tue Apr 16 22:47:32 2019
stack:55 of 264	Tue Apr 16 22:47:32 2019
stack:56 of 264	Tue Apr 16 22:47:33 2019
stack:57 of 264	Tue Apr 16 22:47:34 2019
stack:58 of 264	Tue Apr 16 22:47:35 2019
stack:59 of 264	Tue Apr 16 22:47:36 2019
stack:60 of 264	Tue Apr 16 22:47:36 2019
stack:61 of 264	Tue Apr 16 22:47:37 2019
stack:62 of 264	Tue Apr 16 22:47:38 2019
stack:63 of 264	Tue Apr 16 22:47:39 2019
stack:64 of 264	Tue Apr 16 22:47:39 2019
stack:65 of 264	Tue Apr 16 22:47:40 2019
stack:66 of 264	Tue Apr 16 22:47:41 2019
stack:67 of 264	Tue Apr 16 22:47:42 2019
stack:68 of 264	Tue Apr 16 22:47:43 2019
stack:69 of 264	Tue Apr 16 22:47:43 2019
stack:70 of 264	Tue Apr 16 22:47:44 2019
stack:71 of 264	Tue Apr 16 22:47:45 2019
stack:72 of 264	Tue Apr 16 22:47:46 2019
stack:73 of 264	Tue Apr 16 22:47:46 2019
stack:74 of 264	Tue Apr 16 22:47:47 2019
stack:75 of 264	Tue Apr 16 22:47:48 2019
stack:76 of 264	Tue Apr 16 22:47:49 2019
stack:77 of 264	Tue Apr 16 22:47:49 2019
stack:78 of 264	Tue Apr 16 22:47:50 2019
